route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"1970834827","888-48","13","Piazzale Michelangiolo - Rotonda Barbetti","3","15AC96","000000"
"1977713427","888-48","92","Sesto Fs - Zona Industriale Capalle","3","15AC96","000000"
"203227805","888-48","1","Via Faentina Salviati/Cure Via Boccaccio - T1 Strozzi Fallaci","3","15AC96","000000"
"2033610006","888-48","30","Stazione Leopolda - Campi Bisenzio Piazza Togliatti/Via Galilei","3","15AC96","000000"
"2039638094","888-48","25","Libertà - Pian Di San Bartolo/Pratolino","3","15AC96","000000"
"2085335388","888-48","82","Cure Via Boccaccio - Istituto Volta","3","15AC96","000000"
"2144142881","888-48","36","Stazione Fs Smn - Cascine Del Riccio","3","15AC96","000000"
"2175944165","888-48","81","Viale Ariosto - Polo Scientifico Liceo Agnoletti","3","15AC96","000000"
"2176905022","888-48","33","Rifredi Fs Vasco De Gama - Piazza Giovanni Meyer","3","15AC96","000000"
"2191078216","888-48","SF","Piazza Edison - Maiano","3","15AC96","000000"
"2309664018","888-48","51","Grassina - Pian Di Grassina/Slargo Lippi","3","15AC96","000000"
"2589765650","888-48","4","Torregalli - Via Massa Scuola Ghiberti","3","15AC96","000000"
"2635797521","888-48","32","Piazzale Montelungo - Antella","3","15AC96","000000"
"2765370323","888-48","47","Fiesole Piazza Mino - Il Girone","3","15AC96","000000"
"2824773429","888-48","14","Santa Maria Maggiore - Il Girone/Via Rocca Tedalda","3","15AC96","000000"
"2850340214","888-48","85","Impruneta - Ospedale Annunziata - Istituto Volta","3","15AC96","000000"
"3035356247","888-48","44","Piazza Pier Della Francesca - Piovano Arlotto","3","15AC96","000000"
"3138615783","888-48","59","T1 Morgagni - Polo Scientifico Cnr","3","15AC96","000000"
"3342453472","888-48","64","Sesto Fiorentino Vittorio Veneto - Colonnata","3","15AC96","000000"
"3559921178","888-48","91","Campi Bisenzio Via Buozzi - M&R","3","15AC96","000000"
"3649457547","888-48","16","Puccini - T1 Leopoldo - Puccini","3","15AC96","000000"
"3669949237","888-48","C4","Santa Maria Maggiore - P.O.Palagi","3","15AC96","000000"
"3835639306","888-48","39P","Impruneta-La Presura","3","15AC96","000000"
"48165693","888-48","C3","Piazza Beccaria - Leopolda","3","15AC96","000000"
"600438258","888-48","28","T1 Piazza Dalmazia - Sesto Fiorentino Volpaia","3","15AC96","000000"
