service_id,date,exception_type
"5426_262481","20241004","1"
"5426_262482","20241005","1"
"5426_262484","20241006","1"
"5426_262486","20241003","1"
"5426_262486","20241004","1"
"5426_262486","20241005","1"
"5426_262487","20241006","1"
"5426_262489","20241003","1"
"5426_262489","20241004","1"
"5426_262489","20241005","1"
"5426_262493","20241005","1"
"5426_262496","20241003","1"
"5426_262496","20241004","1"
"5426_262497","20241005","1"
"5426_262499","20241005","1"
"5426_262500","20241003","1"
"5426_262500","20241004","1"
"5426_262503","20241003","1"
"5426_262503","20241004","1"
"5426_262503","20241005","1"
"5426_262504","20241003","1"
"5426_262504","20241004","1"
"5426_262505","20241005","1"
"5426_262506","20241006","1"
"5426_262507","20241003","1"
"5426_262507","20241004","1"
"5426_262508","20241006","1"
"5426_262513","20241006","1"
"5426_262515","20241005","1"
"5426_262518","20241003","1"
"5426_262518","20241004","1"
"5426_262522","20241005","1"
"5426_262523","20241006","1"
"5426_262526","20241003","1"
"5426_262526","20241004","1"
"5426_262530","20241005","1"
"5426_262531","20241006","1"
"5426_262533","20241003","1"
"5426_262533","20241004","1"
"5426_262535","20241005","1"
"5426_262536","20241003","1"
"5426_262536","20241004","1"
"5426_262537","20241006","1"
"5426_262539","20241006","1"
"5426_262546","20241005","1"
"5426_262549","20241003","1"
"5426_262549","20241004","1"
"5426_262551","20241005","1"
"5426_262552","20241006","1"
"5426_262554","20241003","1"
"5426_262554","20241004","1"
"5426_262556","20241005","1"
"5426_262557","20241003","1"
"5426_262557","20241004","1"
"5426_262559","20241005","1"
"5426_262560","20241003","1"
"5426_262560","20241004","1"
"5426_262561","20241005","1"
"5426_262562","20241003","1"
"5426_262562","20241004","1"
"5426_262563","20241005","1"
"5426_262565","20241003","1"
"5426_262565","20241004","1"
"5426_262565","20241005","1"
"5426_262566","20241003","1"
"5426_262566","20241004","1"
"5426_262566","20241005","1"
"5426_262567","20241003","1"
"5426_262567","20241004","1"
"5426_262568","20241005","1"
"5426_262569","20241003","1"
"5426_262569","20241004","1"
"5426_262571","20241005","1"
"5426_262572","20241003","1"
"5426_262572","20241004","1"
"5426_262573","20241005","1"
"5426_262574","20241006","1"
"5426_262575","20241006","1"
"5426_262576","20241003","1"
"5426_262576","20241004","1"
"5426_262580","20241005","1"
"5426_262581","20241006","1"
"5426_262582","20241006","1"
